stop_id,stop_name,code,distance,stop_points/0/code,stop_points/0/stop_id,stop_points/0/stop_lat,stop_points/0/stop_lon,stop_points/0/stop_name,stop_points/1/code,stop_points/1/stop_id,stop_points/1/stop_lat,stop_points/1/stop_lon,stop_points/1/stop_name,stop_points/2/code,stop_points/2/stop_id,stop_points/2/stop_lat,stop_points/2/stop_lon,stop_points/2/stop_name,stop_points/3/code,stop_points/3/stop_id,stop_points/3/stop_lat,stop_points/3/stop_lon,stop_points/3/stop_name,stop_points/4/code,stop_points/4/stop_id,stop_points/4/stop_lat,stop_points/4/stop_lon,stop_points/4/stop_name,stop_points/5/code,stop_points/5/stop_id,stop_points/5/stop_lat,stop_points/5/stop_lon,stop_points/5/stop_name
ASHTON,First at Ashton Woods,MTD4235,21395.35,MTD4235,ASHTON:1,40.08525,-88.23825,Ashton Woods (West Side),MTD4235,ASHTON:2,40.085225,-88.238102,Ashton Woods (East Side),,,,,,,,,,,,,,,,,,,,
ATRIUM,Atrium Apts,MTD2562,25523.46,MTD2562,ATRIUM:2,40.124685,-88.219415,Lincoln at Atrium Apts (East Side),,,,,,,,,,,,,,,,,,,,,,,,,
BAYBRDWLK,Baytowne and Boardwalk,MTD3237,17673.66,MTD3237,BAYBRDWLK:2,40.140552,-88.260885,Baytowne & Boardwalk (SE Corner),MTD3237,BAYBRDWLK:4,40.140895,-88.261073,Baytowne & Boardwalk (West Side),,,,,,,,,,,,,,,,,,,,
BCHRMN,Beech and Romine,MTD1422,23201.88,MTD1422,BCHRMN:2,40.122142,-88.227135,Beech & Romine (SE Corner),MTD1422,BCHRMN:3,40.12214,-88.227292,Beech & Romine (SW Corner),MTD1422,BCHRMN:4,40.122252,-88.227192,Beech & Romine (NW Corner),,,,,,,,,,,,,,,
BDMRBLMY,Broadmoor and Bellamy,MTD3641,14135.04,MTD3641,BDMRBLMY:1,40.092772,-88.262198,Broadmoor & Bellamy (NE Corner),MTD3641,BDMRBLMY:3,40.092673,-88.26239,Broadmoor & Bellamy (SW Corner),,,,,,,,,,,,,,,,,,,,
BDMRCRSNT,Broadmoor and Crescent,MTD7365,8655.2,MTD7365,BDMRCRSNT:3,40.094657,-88.283432,Broadmoor & Crescent (SW Corner),MTD7365,BDMRCRSNT:4,40.094758,-88.283318,Broadmoor & Crescent (NW Corner),,,,,,,,,,,,,,,,,,,,
BDMRDVD,Broadmoor and David,MTD2114,15019.79,MTD2114,BDMRDVD:3,40.09267,-88.258865,Broadmoor & David (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
BDMRGLN,Broadmoor and Galen,MTD0352,13853.89,MTD0352,BDMRGLN:2,40.09261,-88.263425,Broadmoor & Galen (SE Corner),MTD0352,BDMRGLN:3,40.092688,-88.263558,Broadmoor & Galen (SW Corner),MTD0352,BDMRGLN:7,40.092447,-88.263502,Broadmoor & Galen (SW Far Side),,,,,,,,,,,,,,,
BDMRLNWD,Broadmoor and Lynwood,MTD2606,14746.18,MTD2606,BDMRLNWD:1,40.092738,-88.259768,Broadmoor & Lynwood (NE Corner),MTD2606,BDMRLNWD:3,40.092672,-88.260053,Broadmoor & Lynwood (SW Corner),,,,,,,,,,,,,,,,,,,,
BDMRLSDED,Broadmoor and Lakeside Dr.,MTD7216,11479,MTD7216,BDMRLSDED:1,40.093748,-88.27214,Broadmoor & Lakeside (NE Corner),MTD7216,BDMRLSDED:3,40.093666,-88.272399,Broadmoor & Lakeside (SW Corner),,,,,,,,,,,,,,,,,,,,
BDWYCCR,Broadway and Country Club,MTD6222,28913.95,MTD6222,BDWYCCR:2,40.127357,-88.207665,Broadway & Country Club (SE Corner),MTD6222,BDWYCCR:7,40.127167,-88.207782,Broadway & Country Club (SW Far Side),,,,,,,,,,,,,,,,,,,,
