route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/57__O2_MF,Round Barn Road,1,O2 MF,[@2.0.86175868@]25
ILLINI LIMITED SATURDAY,I2   UISA,[@6.0.14330204@][2][1622384445965]/43__I2___UISA,Transit Plaza,1,I2   UISA,ILLINI LIMITED WEEKEND 845
ILLINI LIMITED SATURDAY,I2  NONUISA,[@6.0.14330204@][1][1622384291845]/9__I2__NONUISA,Lincoln & Killarney,0,I2  NONUISA,[@6.0.14330204@]6
YELLOW EVENING SATURDAY,Y1 NONUISA,[@124.0.92247832@][1484327725398]/7__Y1_NONUISA,Savoy Walmart,1,Y1 NONUISA,[@124.0.92247832@]100S
GREY SUNDAY,GR1 SU,[@2.0.85633657@][31][1463429791365]/18__GR1_SU,Lincoln Square - Urbana Walmart,0,GR1 SU,70E-WKND
LINK,LN2 MF,[@6.0.15252684@][2][1622672028480]/66__LN2_MF,Water Survey,1,LN2 MF,[@6.0.15252684@]2
GOLD,G1 MF,[@7.0.41203042@][4][1246652832718]/20__G1_MF,Mattis & Devonshire,1,G1 MF,10WLSG->
YELLOW SATURDAY,Y1 NONUISA,[@15.0.63192124@][2][1338469240094]/14__Y1_NONUISA,Savoy Walmart,1,Y1 NONUISA,[@14.0.57766396@]100S
ILLINI,I7-1 & 2 UIMTH,[@7.0.41200832@][1][1238430123625]/19__I7-1_&_2_UIMTH,Lincoln & Killarney,0,I7-1 & 2 UIMTH,22N ILLINI 10
TEAL SUNDAY,T2 UISU,[@124.0.92229742@][1484323714302]/17__T2_UISU,Orchard Downs,0,T2 UISU,[@124.0.92229742@]12E TEAL WEEKEND 13
GREENHOPPER,GNX5 MF,[@7.0.41101146@][3][1237929928359]/11__GNX5_MF,Washington & Lierman,0,GNX5 MF,5E HOPPER 79
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721531567]/0__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]1
ILLINI,I2 UIMTH,[@7.0.41200832@][1][1238430123625]/56__I2_UIMTH,Lincoln & Killarney,0,I2 UIMTH,22N ILLINI 10
